ax,ay,az,gx,gy,gz,mx,my,mz,acc_mag,rms_acc,acc_var,classification
-0.72,0.15,0.42,3.11,-30.58,31.56,54.0,-12.0,-5.0,0.8469356528095862,1.08369922026363,0.039731984588478035,Normal
-1.02,0.02,1.32,-21.3,10.25,-5.25,52.0,-10.0,-10.0,1.6682925402938178,1.090771745141943,0.04334692537421914,Normal
-0.07,-0.01,0.81,17.82,16.3,-25.88,59.0,-13.0,0.0,0.8130805618141416,1.0870386377677659,0.043795057094632196,Normal
1.22,0.13,1.12,79.35,-27.28,-54.5,64.0,-6.0,0.0,1.6612344807401513,1.092856349206061,0.04710272756899889,Normal
1.2,-0.33,0.96,-35.64,25.51,35.34,61.0,-7.0,-5.0,1.5717824276915682,1.0978574588715968,0.04951310865083765,Normal
-0.18,0.38,0.46,-4.64,10.99,37.9,61.0,-12.0,-5.0,0.6232174580353154,1.0962508836940565,0.05110690339078057,Normal
-1.12,-0.23,1.22,41.32,-2.5,23.8,56.0,-12.0,-8.0,1.6720346886353763,1.1054582760104517,0.05427939899416552,Normal
-0.51,-0.04,0.78,-8.36,5.62,-21.85,59.0,-10.0,-10.0,0.9327915093953204,1.1051723847436652,0.054367669926319306,Normal
0.76,0.15,1.25,65.55,-62.74,-78.25,66.0,-9.0,-4.0,1.4705781176122539,1.1104517098910696,0.05581012231681717,Normal
1.32,-0.16,1.68,-18.62,44.31,17.4,68.0,-1.0,-13.0,2.142521878534733,1.126749750388257,0.06683165642768253,Normal
0.25,0.52,0.53,-35.46,39.37,82.52,68.0,-8.0,-5.0,0.7834538914320358,1.1249715551959525,0.06773795028132024,Normal
-1.32,-0.03,0.96,26.12,-51.76,36.99,59.0,-10.0,-7.0,1.632452143249535,1.1320256180846793,0.07058715202750031,Normal
-0.89,0.01,0.74,-40.47,-2.99,-34.3,58.0,-8.0,-12.0,1.1574973002128341,1.1335100352445056,0.07051829777469235,Normal
0.28,0.26,0.95,57.86,-47.12,-75.26,68.0,-3.0,-11.0,1.0239628899525608,1.1335501753341137,0.07051104932392581,Normal
1.65,-0.18,2.03,-8.0,7.75,6.35,64.0,-4.0,-15.0,2.6221746700019812,1.1590431398356145,0.09350683097873799,Normal
0.57,0.17,1.07,-32.47,67.63,110.66,65.0,-5.0,-13.0,1.224214033574195,1.161429722368082,0.09339720876525903,Normal
-0.95,-0.25,0.54,20.26,-35.16,34.06,58.0,-8.0,-9.0,1.120981712607302,1.1620301200915577,0.0933554363510338,Normal
-1.03,0.08,1.01,-7.69,13.31,-14.89,55.0,-10.0,-12.0,1.4447837208385204,1.1660055746007394,0.09437790373289721,Normal
-0.22,-0.05,0.66,46.14,2.81,-43.4,60.0,-10.0,-10.0,0.6974955196988724,1.1623536467013815,0.09619497816672151,Normal
1.44,0.12,1.69,53.71,-52.67,-78.8,69.0,-5.0,-17.0,2.2235332243976025,1.1789287510278132,0.10825721130401018,Normal
0.97,-0.0,0.84,-35.22,108.64,52.19,69.0,-2.0,-7.0,1.283160161476345,1.1813140987899873,0.10839552527271427,Normal
-0.15,0.54,0.09,-7.26,-1.89,36.32,64.0,-12.0,-5.0,0.567626637852735,1.1778773280779284,0.111571776642289,Normal
-1.34,-0.25,1.37,59.39,-62.56,7.81,53.0,-13.0,-14.0,1.932614809008769,1.189169037605672,0.11789651881628448,Normal
-0.66,-0.23,1.07,-58.9,18.55,-16.72,54.0,-12.0,-10.0,1.2780453826057978,1.192116185612795,0.11777655152013962,Normal
0.65,0.15,0.93,86.73,-30.88,-81.12,70.0,-2.0,-9.0,1.144508628189408,1.1938760404665134,0.11737344575548708,Normal
1.67,-0.22,2.02,-29.72,18.68,54.44,67.0,-4.0,-15.0,2.6301520868573363,1.218548726969915,0.1391400033847913,Normal
0.5,0.31,0.76,-15.87,88.62,102.36,70.0,-5.0,-3.0,0.9610931276416453,1.2182105729306407,0.1392911778030887,Normal
-0.95,-0.28,0.37,38.39,-51.09,29.48,59.0,-15.0,-5.0,1.0572606112023657,1.2185766286943138,0.1391826825157372,Normal
-0.93,0.0,0.99,-60.36,-19.35,-16.54,56.0,-11.0,-10.0,1.3583077707206126,1.221910798708318,0.13935263063090852,Normal
-0.33,0.16,0.74,27.83,-24.35,-43.76,61.0,-11.0,-17.0,0.8258934555982387,1.2206481884638176,0.1402170705320132,Normal
