ax,ay,az,gx,gy,gz,mx,my,mz
0.14,1.05,1.73,151.49,-27.83,49.07,73.00,-2.00,-34.00
0.06,0.69,2.52,118.29,-51.64,87.28,60.00,-2.00,-42.00
0.22,0.78,2.46,109.13,20.51,82.76,68.00,-2.00,-24.00
0.29,-0.06,1.96,8.24,-31.19,113.40,64.00,-1.00,-16.00
-0.09,0.44,0.94,-135.13,5.13,24.66,64.00,0.00,-16.00
-0.10,0.16,0.47,-37.90,-13.18,8.67,68.00,-1.00,-17.00
0.02,0.20,1.19,-67.14,9.95,16.36,69.00,0.00,-15.00
-0.10,1.27,1.18,12.27,-2.56,-27.40,66.00,1.00,-15.00
-0.16,0.90,1.10,21.06,48.77,-68.79,66.00,0.00,-13.00
-0.33,0.34,0.87,144.65,79.47,-84.47,64.00,1.00,-9.00
-0.05,0.70,1.78,1.89,64.33,-109.01,67.00,1.00,-18.00
-0.04,0.13,1.58,-12.21,55.97,-93.51,67.00,0.00,-15.00
-0.10,1.01,1.25,134.83,0.55,-16.91,69.00,3.00,-19.00
-0.26,0.75,1.79,176.94,36.99,239.75,56.00,4.00,-7.00
-0.29,1.92,1.28,94.60,51.82,-60.24,66.00,0.00,-17.00
-0.28,2.15,1.80,144.59,49.32,-2.44,68.00,-1.00,-22.00
-0.08,2.19,1.48,264.40,91.31,10.68,63.00,0.00,-9.00
-0.01,1.81,1.51,72.51,21.73,3.72,65.00,3.00,-11.00
-0.21,1.81,0.96,160.52,-13.73,3.66,69.00,4.00,-18.00
0.34,0.69,1.76,169.74,6.84,155.27,68.00,2.00,-13.00
-0.27,2.11,1.90,-8.42,14.47,71.11,54.00,-6.00,-6.00
-0.19,0.64,1.43,63.23,-11.47,70.56,53.00,-9.00,-16.00
-0.30,0.37,1.17,19.96,10.01,17.58,56.00,-10.00,-13.00
-0.08,0.40,0.85,-33.57,3.11,-15.62,54.00,-11.00,-10.00
0.06,0.36,1.03,-1.71,-15.87,-26.31,58.00,-10.00,-7.00
0.12,0.06,1.10,62.87,3.54,-39.31,64.00,-10.00,-5.00
0.20,-0.64,1.37,178.34,94.54,86.12,64.00,-8.00,-2.00
0.39,-0.03,1.99,103.64,-159.48,30.33,53.00,-7.00,0.00
0.22,-0.67,0.90,-108.15,-193.18,15.87,54.00,-1.00,-13.00
0.41,-0.90,2.23,-49.19,-79.83,214.23,66.00,-3.00,-23.00
0.47,0.96,1.90,85.08,22.46,180.66,64.00,-3.00,-22.00
0.23,0.36,1.61,32.10,26.00,157.96,66.00,-1.00,-12.00
-0.03,0.64,1.11,49.26,12.33,107.85,57.00,-11.00,-6.00
0.07,-0.08,0.47,-104.68,29.97,55.05,57.00,-13.00,-3.00
0.05,0.16,0.88,109.80,56.52,-16.30,54.00,-10.00,-3.00
0.07,-0.08,0.74,-44.37,-19.04,-19.17,50.00,-8.00,0.00
-0.29,-0.11,1.08,108.83,-190.86,189.94,47.00,-11.00,-16.00
-0.40,0.05,1.05,1.40,-96.31,210.88,35.00,-16.00,-26.00
-0.35,0.12,1.07,-47.97,18.62,70.01,71.00,-17.00,-21.00
-0.32,0.14,1.11,-18.55,24.48,39.61,104.00,114.00,22.00
-0.21,0.14,1.05,10.62,39.55,23.99,-152.00,61.00,60.00
-0.10,0.08,1.03,-13.00,47.18,21.48,-83.00,-32.00,10.00
0.00,0.07,1.05,25.82,72.51,40.41,-31.00,-52.00,-13.00
0.10,0.13,1.19,22.64,77.15,39.00,-9.00,-53.00,-19.00
0.35,-0.03,1.28,26.92,117.07,16.17,2.00,-56.00,-17.00
0.44,-0.07,0.83,10.38,173.22,-18.49,3.00,-60.00,-22.00
0.69,-0.11,0.60,-32.84,237.61,-38.09,2.00,-64.00,-24.00
0.77,-0.15,-0.08,6.41,181.09,-59.63,1.00,-62.00,-39.00
0.78,-0.43,-0.26,-53.16,117.37,-5.68,-1.00,-57.00,-31.00
0.67,-0.56,-0.55,-163.45,79.65,-0.61,2.00,-59.00,-25.00
0.65,-0.67,-0.36,-103.58,81.12,-13.31,7.00,-60.00,-13.00
0.64,-0.77,-0.37,-116.58,49.80,16.54,19.00,-59.00,-1.00
0.66,-0.97,-0.28,-119.45,35.71,9.70,26.00,-63.00,0.00
0.65,-0.98,-0.25,-73.85,35.77,15.38,31.00,-66.00,3.00
0.76,-0.96,-0.14,-63.35,21.61,74.46,41.00,-68.00,6.00
0.74,-0.84,-0.28,-47.18,-28.56,168.21,54.00,-71.00,12.00
0.64,-0.37,-0.30,-45.59,-182.86,189.76,63.00,-61.00,14.00
0.42,0.34,0.46,-66.04,-217.83,134.70,68.00,-38.00,14.00
